ID,SPKID,FULL NAME,NAME,NEO,PHA,MAG,DIAMETER
a0000001,2000001,1 Ceres,Ceres,N,N,3.4,939.4
a0000002,2000002,2 Pallas,Pallas,N,N,4.2,545
a0000003,2000003,3 Juno,Juno,N,N,5.33,246.596
a0000004,2000004,4 Vesta,Vesta,N,N,3,525.4
a0000005,2000005,5 Astraea,Astraea,N,N,6.9,106.699
a0000006,2000006,6 Hebe,Hebe,N,N,5.8,185.18
a0000007,2000007,7 Iris,Iris,N,N,5.6,199.83
a0000008,2000008,8 Flora,Flora,N,N,6.5,147.491
a0000009,2000009,9 Metis,Metis,N,N,6.3,190
a0000010,2000010,10 Hygiea,Hygiea,N,N,5.5,407.12
a0000011,2000011,11 Parthenope,Parthenope,N,N,6.5,142.887
a0000012,2000012,12 Victoria,Victoria,N,N,7.3,115.087
a0000013,2000013,13 Egeria,Egeria,N,N,6.8,202.636
a0000014,2000014,14 Irene,Irene,N,N,6.5,152
a0000015,2000015,15 Eunomia,Eunomia,N,N,5.2,231.689
a0000016,2000016,16 Psyche,Psyche,N,N,5.9,226
a0000017,2000017,17 Thetis,Thetis,N,N,7.7,84.899
a0000018,2000018,18 Melpomene,Melpomene,N,N,6.6,139.594
a0000019,2000019,19 Fortuna,Fortuna,N,N,7.3,200
a0000020,2000020,20 Massalia,Massalia,N,N,6.5,135.68
a0000021,2000021,21 Lutetia,Lutetia,N,N,7.5,95.76
a0000022,2000022,22 Kalliope,Kalliope,N,N,6.5,167.536
a0000023,2000023,23 Thalia,Thalia,N,N,6.95,107.53
a0000024,2000024,24 Themis,Themis,N,N,7.3,198
a0000025,2000025,25 Phocaea,Phocaea,N,N,7.8,61.054
a0000026,2000026,26 Proserpina,Proserpina,N,N,7.5,94.8
a0000027,2000027,27 Euterpe,Euterpe,N,N,7,96
a0000028,2000028,28 Bellona,Bellona,N,N,7.2,120.9
a0000029,2000029,29 Amphitrite,Amphitrite,N,N,5.9,189.559
a0000030,2000030,30 Urania,Urania,N,N,7.5,92.787
a0000031,2000031,31 Euphrosyne,Euphrosyne,N,N,6.8,267.08
a0000032,2000032,32 Pomona,Pomona,N,N,7.6,80.76
a0000033,2000033,33 Polyhymnia,Polyhymnia,N,N,8.5,52.929
a0000034,2000034,34 Circe,Circe,N,N,8.6,132.992
a0000035,2000035,35 Leukothea,Leukothea,N,N,8.6,103.055
a0000036,2000036,36 Atalante,Atalante,N,N,8.5,132.842
a0000037,2000037,37 Fides,Fides,N,N,7.3,108.35
a0000038,2000038,38 Leda,Leda,N,N,8.5,92.255
a0000039,2000039,39 Laetitia,Laetitia,N,N,6.1,179.484
a0000040,2000040,40 Harmonia,Harmonia,N,N,7,111.251
a0000041,2000041,41 Daphne,Daphne,N,N,7.4,205.495
a0000042,2000042,42 Isis,Isis,N,N,7.5,110.997
a0000043,2000043,43 Ariadne,Ariadne,N,N,7.9,71.34
a0000044,2000044,44 Nysa,Nysa,N,N,6.9,70.64
a0000045,2000045,45 Eugenia,Eugenia,N,N,7.5,202.327
a0000046,2000046,46 Hestia,Hestia,N,N,8.5,131.471
a0000047,2000047,47 Aglaja,Aglaja,N,N,8.1,168.174
a0000048,2000048,48 Doris,Doris,N,N,7.1,216.473
a0000049,2000049,49 Pales,Pales,N,N,7.8,166.252
a0000050,2000050,50 Virginia,Virginia,N,N,9.2,84.074
a0000051,2000051,51 Nemausa,Nemausa,N,N,7.6,138.159
a0000052,2000052,52 Europa,Europa,N,N,6.4,303.918
a0000053,2000053,53 Kalypso,Kalypso,N,N,8.9,97.262
a0000054,2000054,54 Alexandra,Alexandra,N,N,7.8,160.12
a0000055,2000055,55 Pandora,Pandora,N,N,7.7,84.794
a0000056,2000056,56 Melete,Melete,N,N,8.5,121.333
a0000057,2000057,57 Mnemosyne,Mnemosyne,N,N,7,112.59
a0000058,2000058,58 Concordia,Concordia,N,N,9,106.517
a0000059,2000059,59 Elpis,Elpis,N,N,8,165.119
a0000060,2000060,60 Echo,Echo,N,N,8.5,43.218
a0000061,2000061,61 Danae,Danae,N,N,7.5,85.937
a0000062,2000062,62 Erato,Erato,N,N,8.7,106.921
a0000063,2000063,63 Ausonia,Ausonia,N,N,7.4,116.044
a0000064,2000064,64 Angelina,Angelina,N,N,8,58.292
a0000065,2000065,65 Cybele,Cybele,N,N,6.8,237.26
a0000066,2000066,66 Maja,Maja,N,N,9.5,71.82
a0000067,2000067,67 Asia,Asia,N,N,8.3,56.309
a0000068,2000068,68 Leto,Leto,N,N,6.9,122.509
a0000069,2000069,69 Hesperia,Hesperia,N,N,7.2,138.13
a0000070,2000070,70 Panopaea,Panopaea,N,N,8.1,127.911
a0000071,2000071,71 Niobe,Niobe,N,N,7.1,83.42
a0000072,2000072,72 Feronia,Feronia,N,N,9.1,74.966
a0000073,2000073,73 Klytia,Klytia,N,N,9,44.59
a0000074,2000074,74 Galatea,Galatea,N,N,8.7,118.71
