ID,BST_Depth,AVL_Depth,Splay_Depth
Row 0,1,10,501
Row 1,2,9,252
Row 2,3,10,126
Row 3,4,8,66
Row 4,5,10,33
Row 5,6,9,19
Row 6,7,10,10
Row 7,8,7,8
Row 8,9,10,4
Row 9,10,9,4
Row 10,11,10,2
Row 11,12,8,8
Row 12,13,10,4
Row 13,14,9,4
Row 14,15,10,2
Row 15,16,6,4
Row 16,17,10,2
Row 17,18,9,3
Row 18,19,10,2
Row 19,20,8,6
Row 20,21,10,3
Row 21,22,9,4
Row 22,23,10,2
Row 23,24,7,4
Row 24,25,10,2
Row 25,26,9,3
Row 26,27,10,2
Row 27,28,8,6
Row 28,29,10,3
Row 29,30,9,4
Row 30,31,10,2
Row 31,32,5,4
Row 32,33,10,2
Row 33,34,9,3
Row 34,35,10,2
Row 35,36,8,5
Row 36,37,10,3
Row 37,38,9,4
Row 38,39,10,2
Row 39,40,7,4
Row 40,41,10,2
Row 41,42,9,3
Row 42,43,10,2
Row 43,44,8,7
Row 44,45,10,4
Row 45,46,9,4
Row 46,47,10,2
Row 47,48,6,4
Row 48,49,10,2
Row 49,50,9,3
Row 50,51,10,2
Row 51,52,8,6
Row 52,53,10,3
Row 53,54,9,4
Row 54,55,10,2
Row 55,56,7,4
Row 56,57,10,2
Row 57,58,9,3
Row 58,59,10,2
Row 59,60,8,6
Row 60,61,10,3
Row 61,62,9,4
Row 62,63,10,2
Row 63,64,4,4
Row 64,65,10,2
Row 65,66,9,3
Row 66,67,10,2
Row 67,68,8,5
Row 68,69,10,3
Row 69,70,9,4
Row 70,71,10,2
Row 71,72,7,4
Row 72,73,10,2
Row 73,74,9,3
Row 74,75,10,2
Row 75,76,8,11
Row 76,77,10,6
Row 77,78,9,5
Row 78,79,10,3
Row 79,80,6,5
Row 80,81,10,3
Row 81,82,9,4
Row 82,83,10,2
Row 83,84,8,7
Row 84,85,10,4
Row 85,86,9,4
Row 86,87,10,2
Row 87,88,7,4
Row 88,89,10,2
Row 89,90,9,3
Row 90,91,10,2
Row 91,92,8,7
Row 92,93,10,4
Row 93,94,9,4
Row 94,95,10,2
Row 95,96,5,4
Row 96,97,10,2
Row 97,98,9,3
Row 98,99,10,2
Row 99,100,8,6
Row 100,101,10,3
Row 101,102,9,4
Row 102,103,10,2
Row 103,104,7,4
Row 104,105,10,2
Row 105,106,9,3
Row 106,107,10,2
Row 107,108,8,8
Row 108,109,10,4
Row 109,110,9,4
Row 110,111,10,2
Row 111,112,6,4
Row 112,113,10,2
Row 113,114,9,3
Row 114,115,10,2
Row 115,116,8,6
Row 116,117,10,3
Row 117,118,9,4
Row 118,119,10,2
Row 119,120,7,4
Row 120,121,10,2
Row 121,122,9,3
Row 122,123,10,2
Row 123,124,8,6
Row 124,125,10,3
Row 125,126,9,4
Row 126,127,10,2
Row 127,128,3,4
Row 128,129,10,2
Row 129,130,9,3
Row 130,131,10,2
Row 131,132,8,5
Row 132,133,10,3
Row 133,134,9,4
Row 134,135,10,2
Row 135,136,7,4
Row 136,137,10,2
Row 137,138,9,3
Row 138,139,10,2
Row 139,140,8,8
Row 140,141,10,4
Row 141,142,9,4
Row 142,143,10,2
Row 143,144,6,4
Row 144,145,10,2
Row 145,146,9,3
Row 146,147,10,2
Row 147,148,8,6
Row 148,149,10,3
Row 149,150,9,4
Row 150,151,10,2
Row 151,152,7,4
Row 152,153,10,2
Row 153,154,9,3
Row 154,155,10,2
Row 155,156,8,6
Row 156,157,10,3
Row 157,158,9,4
Row 158,159,10,2
Row 159,160,5,4
Row 160,161,10,2
Row 161,162,9,3
Row 162,163,10,2
Row 163,164,8,5
Row 164,165,10,3
Row 165,166,9,4
Row 166,167,10,2
Row 167,168,7,4
Row 168,169,10,2
Row 169,170,9,3
Row 170,171,10,2
Row 171,172,8,7
Row 172,173,10,4
Row 173,174,9,4
Row 174,175,10,2
Row 175,176,6,4
Row 176,177,10,2
Row 177,178,9,3
Row 178,179,10,2
Row 179,180,8,6
Row 180,181,10,3
Row 181,182,9,4
Row 182,183,10,2
Row 183,184,7,4
Row 184,185,10,2
Row 185,186,9,3
Row 186,187,10,2
Row 187,188,8,6
Row 188,189,10,3
Row 189,190,9,4
Row 190,191,10,2
Row 191,192,4,4
Row 192,193,10,2
Row 193,194,9,3
Row 194,195,10,2
Row 195,196,8,5
Row 196,197,10,3
Row 197,198,9,4
Row 198,199,10,2
Row 199,200,7,4
Row 200,201,10,2
Row 201,202,9,3
Row 202,203,10,2
Row 203,204,8,10
Row 204,205,10,5
Row 205,206,9,5
Row 206,207,10,3
Row 207,208,6,5
Row 208,209,10,3
Row 209,210,9,4
Row 210,211,10,2
Row 211,212,8,7
Row 212,213,10,4
Row 213,214,9,4
Row 214,215,10,2
Row 215,216,7,4
Row 216,217,10,2
Row 217,218,9,3
Row 218,219,10,2
Row 219,220,8,7
Row 220,221,10,4
Row 221,222,9,4
Row 222,223,10,2
Row 223,224,5,4
Row 224,225,10,2
Row 225,226,9,3
Row 226,227,10,2
Row 227,228,8,6
Row 228,229,10,3
Row 229,230,9,4
Row 230,231,10,2
Row 231,232,7,4
Row 232,233,10,2
